"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod","fistresn","afidtc","chg"
"MO","BALANCE SHEET","DIOD","RawMaterials",158281000,"USD","2021-12-31 00:00:00","12M",0.08768243514986467,"2021-12-31_2020-12-31",0.06881626038220001
"MO","BALANCE SHEET","DIOD","RawMaterials",183006000,"USD","2022-12-31 00:00:00","12M",0.09147647182317128,"2022-12-31_2021-12-31",0.15620952609599384
"MO","BALANCE SHEET","DIOD","RawMaterials",187096000,"USD","2023-12-31 00:00:00","12M",0.11259048502803388,"2023-12-31_2022-12-31",0.02234899402205392
"MO","BALANCE SHEET","MSFT","RawMaterials",1190000000,"USD","2021-06-30 00:00:00","12M",0.0070796249583551475,"",""
"MO","BALANCE SHEET","MSFT","RawMaterials",1144000000,"USD","2022-06-30 00:00:00","12M",0.005769909719069955,"2022-06-30_2021-06-30",-0.03865546218487395
"MO","BALANCE SHEET","MSFT","RawMaterials",709000000,"USD","2023-06-30 00:00:00","12M",0.003345681051364934,"2023-06-30_2022-06-30",-0.38024475524475526
"MO","BALANCE SHEET","MSFT","RawMaterials",394000000,"USD","2024-06-30 00:00:00","12M",0.0016073628642063952,"2024-06-30_2023-06-30",-0.44428772919605075
"MO","BALANCE SHEET","DIOD","Receivables",320061000,"USD","2020-12-31 00:00:00","12M",0.26037837156233856,"",""
"MO","BALANCE SHEET","DIOD","Receivables",358496000,"USD","2021-12-31 00:00:00","12M",0.19859491835081838,"2021-12-31_2020-12-31",0.12008648351408013
"MO","BALANCE SHEET","DIOD","Receivables",369233000,"USD","2022-12-31 00:00:00","12M",0.18456297673674635,"2022-12-31_2021-12-31",0.029950124966526822
"MO","BALANCE SHEET","DIOD","Receivables",371930000,"USD","2023-12-31 00:00:00","12M",0.22381974545942535,"2023-12-31_2022-12-31",0.007304330869667662
"MO","BALANCE SHEET","MSFT","Receivables",38043000000,"USD","2021-06-30 00:00:00","12M",0.2263278758745419,"",""
"MO","BALANCE SHEET","MSFT","Receivables",44261000000,"USD","2022-06-30 00:00:00","12M",0.22323599132496091,"2022-06-30_2021-06-30",0.16344662618615777
"MO","BALANCE SHEET","MSFT","Receivables",48688000000,"USD","2023-06-30 00:00:00","12M",0.22975249510416912,"2023-06-30_2022-06-30",0.10002033392828902
"MO","BALANCE SHEET","MSFT","Receivables",56924000000,"USD","2024-06-30 00:00:00","12M",0.23222721746722041,"2024-06-30_2023-06-30",0.16915872494249096
"MO","BALANCE SHEET","DIOD","RestrictedCash",52464000,"USD","2020-12-31 00:00:00","12M",0.042680897971469595,"",""
"MO","BALANCE SHEET","DIOD","RestrictedCash",3219000,"USD","2021-12-31 00:00:00","12M",0.0017832194562039307,"2021-12-31_2020-12-31",-0.9386436413540714
"MO","BALANCE SHEET","DIOD","RestrictedCash",4367000,"USD","2022-12-31 00:00:00","12M",0.002182866968579112,"2022-12-31_2021-12-31",0.356632494563529
"MO","BALANCE SHEET","DIOD","RestrictedCash",3026000,"USD","2023-12-31 00:00:00","12M",0.001820983921061009,"2023-12-31_2022-12-31",-0.30707579574078314
